Movie Name,Genre,Studio,Country,Primary Language,Release Year,Duration,Avg Rating,Raters,Fans,Watched,Lists,Likes
Little Evil,Horror,Bluegrass Films,USA,English,2017,"
					
					94 mins",2.53,"27,733 ratings",5 fans,"43,035 members","6,445 lists","4,283 members"
Father of the Bride Part II,Comedy,Touchstone Pictures,USA,English,1995,"
					
					106 mins",3.1,"26,479 ratings",59 fans,"57,080 members","6,291 lists","7,344 members"
The Dance of Reality,Fantasy,Le Soleil Films,Chile,Spanish,2013,"
					
					130 mins",3.83,"11,813 ratings",151 fans,"17,986 members","7,600 lists","5,079 members"
Goodbye Christopher Robin,History,Fox Searchlight Pictures,UK,English,2017,"
					
					107 mins",3.34,"20,442 ratings",57 fans,"32,122 members","5,681 lists","5,271 members"
Halloweentown High,Adventure,Reel FX Creative Studios,USA,English,2004,"
					
					82 mins",2.74,"22,582 ratings",10 fans,"62,772 members","10,539 lists","6,360 members"
Mannequin,Romance,Gladden Entertainment,USA,English,1987,"
					
					89 mins",2.92,"19,831 ratings",118 fans,"37,349 members","7,671 lists","6,511 members"
Green Snake,Fantasy,Seasonal Film Corporation,Hong Kong,Cantonese,1993,"
					
					99 mins",4.01,"6,614 ratings",139 fans,"9,527 members","7,280 lists","3,605 members"
Jerrod Carmichael: Rothaniel,Comedy,HBO,USA,English,2022,"
					
					55 mins",4.21,"16,416 ratings",64 fans,"25,482 members","4,518 lists","11,480 members"
Creepy,Horror,Asmik Ace,Japan,Japanese,2016,"
					
					130 mins",3.46,"13,244 ratings",10 fans,"17,835 members","7,380 lists","3,876 members"
The Gods Must Be Crazy,Comedy,CAT Films,South Africa,English,1980,"
					
					109 mins",3.4,"20,373 ratings",104 fans,"41,079 members","6,486 lists","6,358 members"
The Longest Day,Action,Darryl F. Zanuck Productions,USA,English,1962,"
					
					178 mins",3.76,"15,381 ratings",92 fans,"25,752 members","12,146 lists","4,773 members"
